,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
2025,2025,DATE,,,en,18,,,,,,
October,October,DATE,,,en,18,,,,,,
the weekend,the weekend,DATE,,,en,16,,,,,,
Friday,Friday,DATE,,,en,13,,,,,,
Saturday,Saturday,DATE,,,en,12,,,,,,
first,first,ORDINAL,,,en,10,,,,,,
Tuesday,Tuesday,DATE,,,en,9,,,,,,
today,today,DATE,,,en,7,,,,,,
more than 400,more than 400,CARDINAL,,,en,6,,,,,,
2023,2023,DATE,,,en,6,,,,,,
this month,this month,DATE,,,en,5,,,,,,
four,four,CARDINAL,,,en,5,,,,,,
this weekend,this weekend,DATE,,,en,5,,,,,,
Americans,Americans,NORP,,,en,5,,,,,,
the coming days,the coming days,DATE,,,en,5,,,,,,
Thursday,Thursday,DATE,,,en,5,,,,,,
one,one,CARDINAL,,,en,5,,,,,,
at least six,at least six,CARDINAL,,,en,5,,,,,,
next week,next week,DATE,,,en,4,,,,,,
this week,this week,DATE,,,en,4,,,,,,
Nov. 12,Nov. 12,DATE,,,en,4,,,,,,
six,six,CARDINAL,,,en,4,,,,,,
evening,evening,TIME,,,en,4,,,,,,
the second season,the second season,DATE,,,en,4,,,,,,
Del Sol VTEC,Del Sol VTEC,PRODUCT,,,en,3,,,,,,
five,five,CARDINAL,,,en,3,,,,,,
2,2,CARDINAL,,,en,3,,,,,,
1997,1997,DATE,,,en,3,,,,,,
tens of thousands,tens of thousands,CARDINAL,,,en,3,,,,,,
72,72,CARDINAL,,,en,3,,,,,,
48,48,CARDINAL,,,en,3,,,,,,
two,two,CARDINAL,,,en,3,,,,,,
October 21,October 21,DATE,,,en,3,,,,,,
55%,55%,PERCENT,,,en,3,,,,,,
the next 24 hours,the next 24 hours,TIME,,,en,3,,,,,,
night,night,TIME,,,en,3,,,,,,
2011,2011,DATE,,,en,3,,,,,,
1995,1995,DATE,,,en,3,,,,,,
a day,a day,DATE,,,en,3,,,,,,
Italian,Italian,NORP,,,en,3,,,,,,
yesterday,yesterday,DATE,,,en,3,,,,,,
this morning,this morning,TIME,,,en,3,,,,,,
Nine,Nine,CARDINAL,,,en,2,,,,,,
the next 36 hours,the next 36 hours,TIME,,,en,2,,,,,,
75,75,CARDINAL,,,en,2,,,,,,
700k,700k,MONEY,,,en,2,,,,,,
Chubbies,Chubbies,PRODUCT,,,en,2,,,,,,
7 days,7 days,DATE,,,en,2,,,,,,
700 miles,700 miles,QUANTITY,,,en,2,,,,,,
8,8,CARDINAL,,,en,2,,,,,,
Wednesday,Wednesday,DATE,,,en,2,,,,,,
121,121,CARDINAL,,,en,2,,,,,,
Oct. 7,Oct. 7,DATE,,,en,2,,,,,,
five days,five days,DATE,,,en,2,,,,,,
three,three,CARDINAL,,,en,2,,,,,,
two hours,two hours,TIME,,,en,2,,,,,,
The Ideal Backup,The Ideal Backup,PRODUCT,,,en,2,,,,,,
16,16,CARDINAL,,,en,2,,,,,,
Polish,Polish,NORP,,,en,2,,,,,,
"October 16, 2025","October 16, 2025",DATE,,,en,2,,,,,,
tomorrow,tomorrow,DATE,,,en,2,,,,,,
seven,seven,CARDINAL,,,en,2,,,,,,
1.16,1.16,CARDINAL,,,en,2,,,,,,
morning,morning,TIME,,,en,2,,,,,,
the next three hours,the next three hours,TIME,,,en,2,,,,,,
10th,10th,ORDINAL,,,en,2,,,,,,
this year,this year,DATE,,,en,2,,,,,,
last week,last week,DATE,,,en,2,,,,,,
the next 72 hours,the next 72 hours,TIME,,,en,2,,,,,,
37 degrees,37 degrees,QUANTITY,,,en,2,,,,,,
Tens of thousands,Tens of thousands,CARDINAL,,,en,2,,,,,,
two-thirds,two-thirds,CARDINAL,,,en,2,,,,,,
more than one hundred thousand,more than one hundred thousand,CARDINAL,,,en,2,,,,,,
