,Hazard,Adaptation,Mitigation,Causes,Impacts
2025-09-23,1,0,0,0,0
2025-09-24,1,0,0,0,0
2025-09-26,1,0,0,0,0
2025-09-29,0,0,1,0,0
2025-10-02,1,0,0,0,1
2025-10-03,2,0,0,0,0
2025-10-05,1,0,0,0,0
2025-10-06,1,0,0,0,0
2025-10-07,1,0,0,0,1
2025-10-08,0,0,0,0,2
2025-10-13,0,0,0,1,3
2025-10-14,2,0,1,1,10
2025-10-15,0,0,1,1,0
2025-10-16,2,0,0,0,1
2025-10-17,1,0,0,1,2
2025-10-18,1,0,1,0,2
2025-10-19,2,0,0,2,0
2025-10-20,1,0,0,1,2
2025-10-21,1,0,0,3,1
2025-10-22,0,0,1,0,2
2025-10-23,0,0,0,1,2
2025-10-24,1,0,0,0,0
2025-10-25,4,0,1,2,1
2025-10-26,0,0,0,0,2
2025-10-27,0,0,0,0,2
2025-10-28,0,0,0,0,1
2025-10-29,1,0,1,0,0
2025-10-30,0,0,0,1,0
2025-10-31,2,0,1,0,4
2025-11-01,1,0,0,0,0
2025-11-02,0,0,1,1,2
2025-11-03,0,0,2,1,1
2025-11-04,1,0,0,2,0
2025-11-05,0,0,0,0,1
2025-11-06,0,0,3,1,1
2025-11-07,0,0,1,2,2
2025-11-08,0,0,0,0,3
2025-11-09,0,0,1,1,1
2025-11-10,0,0,0,1,1
2025-11-11,0,0,0,0,2
2025-11-12,0,0,0,1,2
