,summary,Mitigation,Impact,Causes,Hazard,word
summaryOfAllWords,12646.34220419796,3101.5256355210513,3138.7802278677304,3082.1776640473227,3323.8586767617467,
Severe,34.04862892147717,0.00445946296504638,-0.060748663421736224,0.021520513502473963,0.030835551816151784,Severe
storms,19.137278044402343,-0.09630830836600014,0.025383720463357486,-0.014693962976867855,0.0722492682868875,storms
sever+e storms,6.479122183950135,-0.09961317827753507,-0.1317867816508688,-0.016312154025708663,0.19890893338085944,sever+e storms
threaten,7.296487542467592,-0.11453373826781645,-0.027768057375992663,0.07645964515581345,0.05179467687831906,threaten
storms threaten,3.8271964704381425,-0.12422461510292647,-0.07240045681444626,0.13173221985028985,0.04343531057875678,storms threaten
southern,7.695525781121647,-0.16667233301512527,-0.07986662539242383,0.1527443871800992,0.060824514919917104,southern
threaten southern,3.9308252599186098,-0.1365378482853426,-0.08361284740663939,0.14120788010184343,0.052781880065833744,threaten southern
states,7.728674391825452,-0.19423586313896857,-0.10828070056105907,0.16417677271067657,0.09183917888182105,states
southern state+s,4.068867693450901,-0.155169760662043,-0.10105399712207869,0.15645898383750975,0.06563013352376187,southern state+s
risk,11.670092520096652,-0.13455906576526275,-0.07332690687908482,0.11413736784223578,0.06964604668598791,risk
state+s risk,4.253042981745686,-0.18384625670533786,-0.1285845713915509,0.18289501901176133,0.0811643314654017,state+s risk
strong,23.474740290613703,-0.24290911906340107,-0.11816510046045282,0.33263650139489465,-0.06131046110257622,strong
risk strong,4.650637250684412,-0.25596347435878586,-0.1994599779542732,0.26891824324955166,0.0910912001623127,risk strong
tornadoes,14.174387849258187,-0.17383476000033823,-0.2247672081094553,-0.005090274471983089,0.2954183603599679,tornadoes
strong tornado+es,4.807502347833328,-0.27241644210355603,-0.21473484184513084,0.09661812294583777,0.270738871027381,strong tornado+es
Nine,6.33156594549138,-0.17245699544161092,-0.0937318696336414,0.10718505501439335,0.11990272716639375,Nine
tornado+es nin+e,4.45641897571008,-0.1694460501410109,-0.10990396418613978,0.12282219438860348,0.11559837388160898,tornado+es nin+e
nin+e state+s,6.008441965136827,-0.15861763360506267,-0.0816548694009133,0.1302153533096377,0.07876376700726175,nin+e state+s
across,22.789357305957534,-0.1121178829985383,-0.028723471364385324,0.11647849633546463,0.011092081622548901,across
state+s across,6.417837660517078,-0.13513573761123443,-0.05419734968788923,0.11074752696009549,0.05748324053624448,state+s across
the,107.8182679471593,-0.010929491883538957,-0.04845082382597043,-0.021824657103831864,0.07215665325536409,the
across the,14.446048060009229,-0.028948617061043642,-0.05507883240282171,0.06946005141698265,0.010476248724954344,across the
the southern,10.095132831790057,-0.13541363351864252,-0.039149347555513754,0.07018709467840006,0.08342813545099205,the southern
Plains,11.087084303422634,-0.07662923151257912,-0.03572071748675821,0.10625052016569905,-0.0019825753765092525,Plains
southern plains,10.950086291362679,-0.06419571366417363,-0.023287199638352667,0.07202314481919625,0.010450942471896358,southern plains
are,16.14733472358633,-0.035791903495499225,0.03850316211969907,0.011270409437073893,-0.014881338120905979,are
plains are,7.415110665328545,-0.10627267949843261,-0.018635911511343486,0.09661914090036627,0.017296553804835763,plains are
under,8.114244036491863,0.059118119208320455,-0.06895501924758865,0.03993950194490159,-0.03220373652174294,under
are under,7.702339943603726,-0.10582540065802949,-0.01685815041132114,0.09203637078116916,0.01989313231452452,are under
under the,6.068786066308386,-0.1388554887005789,-0.060525533638870324,0.1275802477663536,0.04903052776980478,under the
threat,13.658313088149285,-0.014895429966462818,-0.0361549506274511,0.0871913779585629,-0.03786084494505056,threat
the threat,7.11099327791657,-0.12297654396781064,-0.037469486247640446,0.10099500888499038,0.043212502894980395,the threat
severe,66.23666390696977,-0.05394272806821564,0.006709953231851938,0.008607467676474433,0.03404126062405672,severe
threat severe,10.925867321802434,-0.10598615345466109,-0.006925766496239561,0.0661460163848989,0.03627719267980731,threat severe
thunderstorms,90.29097696054818,-0.10931569217419085,-0.004648954383092933,0.04604732848127148,0.05572638966271043,thunderstorms
severe thunderstorms,34.47698939711599,-0.09611980364554434,-0.0016437546809705346,0.03613793297932489,0.05158860335292646,severe thunderstorms
with,54.09441546131194,0.010427924189817445,-0.07413398029976855,-0.020546278035234306,0.07376216982361884,with
thunderstorms with,12.404627355707396,-0.1316874908394623,-0.030241580175786462,0.09114056360487051,0.0533297208127562,thunderstorms with
parts,21.949537492794157,-0.05827765689421485,-0.004761019446076249,0.009405727410484075,0.04740587673104876,parts
with part+s,8.337760930865352,-0.10220772717595321,-0.010539233243568176,0.07505027182856058,0.027895157804340254,with part+s
Arkansas,11.053024724906447,0.005098745169231789,-0.02158383156180293,0.09473267756091161,-0.07985114329980951,Arkansas
part+s arkansas,7.512150445841984,-0.10070176167687453,-0.012415920996331316,0.07960859511016381,0.023915198099988426,part+s arkansas
and,129.53521211981777,-0.0014651809377596303,-0.010526844307747711,0.017356685231216924,-0.004992868439082672,and
arkansas and,6.958339536896778,-0.09938877099535398,-0.01381110079112238,0.0828992165215038,0.02086639470745186,arkansas and
Oklahoma,9.967688770031948,-0.03210067936879354,-0.0321263890989238,0.04970178861282125,0.012008344844468263,Oklahoma
and oklahoma,6.763928154967803,-0.09884713781550741,-0.014323923049020287,0.08408312023261513,0.019716346059394055,and oklahoma
particular,6.269265220098949,-0.09721595078753277,-0.015668797132678113,0.08710586382160322,0.016591294225571464,particular
oklahoma particular,6.269265220098949,-0.09721595078753277,-0.015668797132678113,0.08710586382160322,0.016591294225571464,oklahoma particular
threatened,6.141217156559252,-0.13015918646105584,-0.05091061677634033,0.05478660788094749,0.10303741296281714,threatened
particular threatened,5.990906193388235,-0.10537891503748045,-0.02613034535276488,0.0795668793045228,0.040072283927166115,particular threatened
threatened storms,8.197519931311067,-0.11756105270882122,-0.026919738158229255,0.08601215069365921,0.04429218773980775,threatened storms
capable,5.729011894672026,-0.1331365409074839,-0.057221172703182666,0.05198041742506325,0.1127559998932227,capable
storms capable,5.729011894672026,-0.1331365409074839,-0.057221172703182666,0.05198041742506325,0.1127559998932227,storms capable
generating,5.700467549230623,-0.15877557784610927,-0.08435339274963534,0.026130230991393118,0.1729709732916195,generating
capable generating,5.700467549230623,-0.15877557784610927,-0.08435339274963534,0.026130230991393118,0.1729709732916195,capable generating
few,7.033096910659589,-0.16171057663892216,-0.17894877799438913,-0.06290447619676895,0.30053909482438,few
generating few,5.99483633589747,-0.2299585667215371,-0.1565821228067182,-0.04612519999427073,0.3150736576858952,generating few
few tornado+es,6.787994506305277,-0.32435331296331127,-0.24948556879529568,0.010551876572174186,0.37647830510184876,few tornado+es
Tuesday,5.25445060389915,-0.1638912807267868,-0.09133724542954176,0.05442004562516987,0.15838948059619268,Tuesday
tornado+es tuesday,4.115991679424565,-0.1383245682916956,-0.08214134812827331,0.011118038811060183,0.1694414578424764,tornado+es tuesday
afternoon,8.620439696699279,-0.11524487752543433,0.018500318420248813,0.0466247153993172,0.0389128360654089,afternoon
tuesday afternoon,4.095051500257141,-0.11451055392225382,-0.05700301062298376,0.033206242727772534,0.11509045746393902,tuesday afternoon
Tue…,3.8665330863270464,-0.14189820790171725,-0.0906512725250601,-0.015037161046426021,0.19812865619103107,Tue…
tornado+es tue…,3.8665330863270464,-0.14189820790171725,-0.0906512725250601,-0.015037161046426021,0.19812865619103107,tornado+es tue…
+2855,3.7675266178955447,-0.12443144730148797,-0.07384789801579097,0.0019706524734723328,0.1609013115178604,+2855
tue… +2855,3.7675266178955447,-0.12443144730148797,-0.07384789801579097,0.0019706524734723328,0.1609013115178604,tue… +2855
chars,34.32782291135838,-0.024655776584499894,-0.005512146665926515,0.02545649147712239,0.003999589036436384,chars
+2855 chars,3.6958313734524237,-0.11322977453072945,-0.0632801669581582,0.012715735139440914,0.13621860893248006,+2855 chars
Lightning,6.171306917665256,-0.23803163331699184,0.28359628914768487,-0.14778476616069022,0.015291054085653642,Lightning
heavy,35.82797375886148,-0.024444812849166775,0.01326324668812182,0.014864458852279832,-0.003969456234420447,heavy
lightning heavy,3.889841719763351,-0.05290349649289464,0.005312654732260027,0.019738868052306895,0.024269163994311924,lightning heavy
rain,37.12008825528679,-0.08961576378936939,-0.009265458682134154,0.027989011749590148,0.060504645920168965,rain
heavy rain,27.837311527823537,-0.07306604204534099,-0.009952235836458939,0.03427937483524538,0.041871938596860614,heavy rain
